Name;PClass;Age;SexCode;Survived
Allen, Miss Elisabeth Walton;1;29;1;1
Allison, Miss Helen Loraine;1;2;1;0
Allison, Mr Hudson Joshua Creighton;1;30;0;0
Allison, Mrs Hudson JC (Bessie Waldo Daniels);1;25;1;0
Allison, Master Hudson Trevor;1;0.92;0;1
Anderson, Mr Harry;1;47;0;1
Andrews, Miss Kornelia Theodosia;1;63;1;1
Andrews, Mr Thomas, jr;1;39;0;0
Appleton, Mrs Edward Dale (Charlotte Lamson);1;58;1;1
Artagaveytia, Mr Ramon;1;71;0;0
Astor, Colonel John Jacob;1;47;0;0
Astor, Mrs John Jacob (Madeleine Talmadge Force);1;19;1;1
Baxter, Mrs James (Helene DeLaudeniere Chaput);1;50;1;1
Baxter, Mr Quigg Edmond;1;24;0;0
Beattie, Mr Thomson;1;36;0;0
Beckwith, Mr Richard Leonard;1;37;0;1
Beckwith, Mrs Richard Leonard (Sallie Monypeny);1;47;1;1
Behr, Mr Karl Howell;1;26;0;1
Birnbaum, Mr Jakob;1;25;0;0
Bishop, Mr Dickinson H;1;25;0;1
Bishop, Mrs Dickinson H (Helen Walton);1;19;1;1
Bjornstrm-Steffansson, Mr Mauritz Hakan;1;28;0;1
Blackwell, Mr Stephen Weart;1;45;0;0
Blank, Mr Henry;1;39;0;1
Bonnell, Miss Caroline;1;30;1;1
Bonnell, Miss Elizabeth;1;58;1;1
Bowen, Miss Grace Scott;1;45;1;1
Bowerman, Miss Elsie Edith;1;22;1;1
Brady, Mr John Bertram;1;41;0;0
Brandeis, Mr Emil;1;48;0;0
Brown, Mrs James Joseph (Margaret Molly" Tobin)";1;44;1;1
Brown, Mrs John Murray (Caroline Lane Lamson);1;59;1;1
Bucknell, Mrs William Robert (Emma Eliza Ward);1;60;1;1
Butt, Major Archibald Willingham;1;45;0;0
Candee, Mrs Edward (Helen Churchill Hungerford);1;53;1;1
Cardeza, Mrs James Warburton Martinez (Charlotte Wardle Drake);1;58;1;1
Cardeza, Mr Thomas Drake Martinez;1;36;0;1
Carlsson, Mr Frans Olof;1;33;0;0
Carter, Mr William Ernest;1;36;0;1
Carter, Mrs William Ernest (Lucile Polk);1;36;1;1
Carter, Miss Lucile Polk;1;14;1;1
Carter, Master William T II;1;11;0;1
Case, Mr Howard Brown;1;49;0;0
Cavendish, Mr Tyrell William;1;36;0;0
Chaffee, Mr Herbert Fuller;1;46;0;0
Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood);1;47;1;1
Chambers, Mr Norman Campbell;1;27;0;1
Chambers, Mrs Norman Campbell (Bertha Griggs);1;31;1;1
Clark, Mr Walter Miller;1;27;0;0
Clark, Mrs Walter Miller (Virginia McDowell);1;26;1;1
Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll);1;64;1;1
Compton, Mr Alexander Taylor, Jr;1;37;0;0
Compton, Miss Sara Rebecca;1;39;1;1
Cornell, Mrs Robert Clifford (Malvina Helen Lamson);1;55;1;1
Crosby, Captain Edward Gifford;1;70;0;0
Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead);1;69;1;1
Crosby, Miss Harriet R;1;36;1;1
Cumings, Mr John Bradley;1;39;0;0
Cumings, Mrs John Bradley (Florence Briggs Thayer);1;38;1;1
Daniel, Mr Robert Williams;1;27;0;1
Davidson, Mr Thornton;1;31;0;0
Davidson, Mrs Thornton (Orian Hays);1;27;1;1
Dick, Mr Albert Adrian;1;31;0;1
Dick, Mrs Albert Adrian Vera Gillespie;1;17;1;1
Dodge, Master Washington;1;4;0;1
Douglas, Mrs Frederick Charles (Suzette Baxter);1;27;1;1
Douglas, Mr Walter Donald;1;50;0;0
Douglas, Mrs Walter Donald (Mahala Dutton);1;48;1;1
Duff Gordon, Sir Cosmo Edmund;1;49;0;1
Duff Gordon, Lady (Lucille Wallace Sutherland);1;48;1;1
Dulles, Mr William Crothers;1;39;0;0
Earnshaw, Mrs Boulton (Olive Potter);1;23;1;1
Eustis, Miss Elizabeth Mussey;1;53;1;1
Evans, Miss Edith Corse;1;36;1;0
Foreman, Mr Benjamin Laventall;1;30;0;0
Fortune, Miss Alice Elizabeth;1;24;1;1
Fortune, Mr Charles Alexander;1;19;0;0
Fortune, Miss Ethel Flora;1;28;1;1
Fortune, Miss Mabel;1;23;1;1
Fortune, Mr Mark;1;64;0;0
Fortune, Mrs Mark (Mary McDougald);1;60;1;1
Frauenthal, Dr Henry William;1;49;0;1
Frauenthal, Mr Isaac Gerald;1;44;0;1
Frolicher, Miss Marguerite;1;22;1;1
Frolicher-Stehli, Mr Maxmillian;1;60;0;1
Frolicher-Stehli, Mrs Maxmillian (Margaretha Emerentia Stehli);1;48;1;1
Futrelle, Mr Jacques;1;37;0;0
Futrelle, Mrs Jacques (May Peel);1;35;1;1
Gee, Mr Arthur H;1;47;0;0
Gibson, Miss Dorothy;1;22;1;1
Gibson, Mrs Leonard (Pauline C Boeson);1;45;1;1
Goldenberg, Mr Samuel L;1;49;0;1
Goldschmidt, Mr George B;1;71;0;0
Gracie, Colonel Archibald IV;1;54;0;1
Graham, Mr George Edward;1;38;0;0
Graham, Miss Margaret Edith;1;19;1;1
Graham, Mrs William Thompson (Edith Junkins);1;58;1;1
Greenfield, Mrs Leo David (Blanche Strouse);1;45;1;1
Greenfield, Mr William Bertram;1;23;0;1
Guggenheim, Mr Benjamin;1;46;0;0
Harder, Mr George Achilles;1;25;0;1
Harder, Mrs George Achilles (Dorothy Annan);1;21;1;1
Harper, Mr Henry Sleeper;1;48;0;1
Harper, Mrs Henry Sleeper (Myna Haxtun);1;49;1;1
Harris, Mr Henry Birkhardt;1;45;0;0
Harris, Mrs Henry Birkhardt (Irene Wallach);1;36;1;1
Hays, Mr Charles Melville;1;55;0;0
Hays, Mrs Charles Melville (Clara Jennings Gregg);1;52;1;1
Hays, Miss Margaret Bechstein;1;24;1;1
Hippach, Miss Jean Gertrude;1;16;1;1
Hippach, Mrs Louis Albert (Ida Sophia Fischer);1;44;1;1
Hogeboom, Mrs John C (Anna Andrews);1;51;1;1
Holverson, Mr Alexander Oskar;1;42;0;0
